Region,Date,Daily_Min_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp
Maritimes,1/1/1981,-1.6,22,22.7,-2
Maritimes,1/2/1981,-2.3,23.4,20.3,-2.8
Maritimes,1/3/1981,-4.4,15.6,14.5,-6.6
Maritimes,1/4/1981,-13.2,4.5,12.5,-8.3
Maritimes,1/5/1981,-7.4,17.4,14.4,-3.9
Maritimes,1/6/1981,8.8,21.2,27.2,5.5
Maritimes,1/7/1981,14.9,43,30.4,9.1
Maritimes,1/8/1981,3.5,26.9,29.3,7.4
Maritimes,1/9/1981,3.7,18.2,23.6,4
Maritimes,1/10/1981,4.7,25.8,21.1,4.2
Maritimes,1/11/1981,4.4,19.3,19.3,1.7
Maritimes,1/12/1981,-3.8,12.9,17,2.5
Maritimes,1/13/1981,6.9,18.8,18.2,1.5
Maritimes,1/14/1981,1.3,23,22,3.8
Maritimes,1/15/1981,3.1,24.2,24.5,5.5
Maritimes,1/16/1981,12,26.4,22.7,7.2
Maritimes,1/17/1981,6.6,17.5,21.9,8.2
Maritimes,1/18/1981,6.2,21.8,23.8,9.4
Maritimes,1/19/1981,15.4,31.9,26.5,9.4
Maritimes,1/20/1981,6.8,25.6,26.8,5.4
Maritimes,1/21/1981,-6,23,26.2,0.2
Maritimes,1/22/1981,-0.1,29.9,27.9,5.8
Maritimes,1/23/1981,23.3,30.7,30,13.4
Maritimes,1/24/1981,17,29.2,29.4,17.3
Maritimes,1/25/1981,11.6,28.1,33.7,16.7
Maritimes,1/26/1981,21.4,43.9,37.7,20.4
Maritimes,1/27/1981,28.3,41.2,40,22.5
Maritimes,1/28/1981,18,35.1,32.8,18.2
Maritimes,1/29/1981,8.3,22.2,24.3,10.9
Maritimes,1/30/1981,6.4,15.6,20.4,6.8
Maritimes,1/31/1981,5.7,23.4,25.4,6.6
Maritimes,2/1/1981,7.6,37.3,36.5,13.5
Maritimes,2/2/1981,27,48.7,42.4,15
Maritimes,2/3/1981,10.3,41.1,35.3,13
Maritimes,2/4/1981,1.6,16.2,24.7,2.4
Maritimes,2/5/1981,-4.7,16.7,20.9,0.4
Maritimes,2/6/1981,4.3,29.8,26.8,5.9
Maritimes,2/7/1981,18.1,33.9,36.4,14.8
Maritimes,2/8/1981,22.1,45.5,38.9,21.1
Maritimes,2/9/1981,23.2,37.3,39.2,21.3
Maritimes,2/10/1981,18.6,34.9,42.7,21.4
Maritimes,2/11/1981,22.5,55.7,45.7,17.3
Maritimes,2/12/1981,10.7,46.3,40.8,13
Maritimes,2/13/1981,5.8,20.4,32.9,7.9
Maritimes,2/14/1981,7.2,32,26.4,8.9
Maritimes,2/15/1981,13.6,26.9,34.1,12.6
Maritimes,2/16/1981,17,43.3,39.2,20.9
Maritimes,2/17/1981,32,47.4,46.2,26
Maritimes,2/18/1981,29.1,47.8,49,30.4
Maritimes,2/19/1981,29.9,51.9,47.8,32.6
Maritimes,2/20/1981,38.8,43.7,47.1,33.7
Maritimes,2/21/1981,32.4,45.7,47.8,33.6
Maritimes,2/22/1981,29.7,53.9,51.1,29.8
Maritimes,2/23/1981,27.4,53.6,50.4,27.7
Maritimes,2/24/1981,26,43.8,46.7,28.7
Maritimes,2/25/1981,32.5,42.7,43.8,30.4
Maritimes,2/26/1981,32.7,45,41.8,32
Maritimes,2/27/1981,30.8,37.6,40.9,31.3
Maritimes,2/28/1981,30.4,40.1,38.4,30.6
Maritimes,3/1/1981,30.6,37.4,38.5,28.7
Maritimes,3/2/1981,25.2,38.1,37.2,25.4
Maritimes,3/3/1981,20.4,36.2,36.8,23.6
Maritimes,3/4/1981,25.1,35.9,35.9,23.3
Maritimes,3/5/1981,24.3,35.6,36.6,25.8
Maritimes,3/6/1981,28.1,38.4,37.6,27.4
Maritimes,3/7/1981,29.8,38.8,38.3,29
Maritimes,3/8/1981,29.1,37.8,38.5,27.6
Maritimes,3/9/1981,24,38.9,38,25.9
Maritimes,3/10/1981,24.6,37.4,38,24.1
Maritimes,3/11/1981,23.6,37.5,37.6,23.6
Maritimes,3/12/1981,22.6,38,38.7,22.5
Maritimes,3/13/1981,21.4,40.5,38.7,23.1
Maritimes,3/14/1981,25.3,37.7,38.1,23.6
Maritimes,3/15/1981,24.1,36.3,38.6,22
Maritimes,3/16/1981,16.6,41.9,40.4,19.4
Maritimes,3/17/1981,17.6,43,36.6,16.8
Maritimes,3/18/1981,16.2,25,33,15.2
Maritimes,3/19/1981,11.7,30.9,30,13
Maritimes,3/20/1981,11.3,34.2,34.1,16.3
Maritimes,3/21/1981,26.1,37.1,37.3,22.5
Maritimes,3/22/1981,30.3,40.6,40.2,26.8
Maritimes,3/23/1981,24.2,43,43.3,25.2
Maritimes,3/24/1981,21.3,46.4,43.9,22.2
Maritimes,3/25/1981,21,42.2,45.3,20.7
Maritimes,3/26/1981,19.9,47.3,46.8,22.6
Maritimes,3/27/1981,26.9,50.9,47.3,23.8
Maritimes,3/28/1981,24.5,43.8,50.2,28.5
Maritimes,3/29/1981,34.1,56,53.6,34.3
Maritimes,3/30/1981,44.3,60.9,56.5,36.5
Maritimes,3/31/1981,31,52.7,56.1,35.2
Maritimes,4/1/1981,30.1,54.6,53.5,33
Maritimes,4/2/1981,38,53.2,54.5,34.7
Maritimes,4/3/1981,35.9,55.8,60.3,37.2
Maritimes,4/4/1981,37.9,71.8,63.4,41
Maritimes,4/5/1981,49.2,62.6,62.8,40.3
Maritimes,4/6/1981,33.8,54.1,55.3,38.3
Maritimes,4/7/1981,31.8,49.3,56.1,32.1
Maritimes,4/8/1981,30.8,65.1,60.4,34.8
Maritimes,4/9/1981,41.9,66.8,63,37.2
Maritimes,4/10/1981,38.9,57.2,61.5,40.9
Maritimes,4/11/1981,42,60.5,54.7,37.5
Maritimes,4/12/1981,31.7,46.5,51,33.2
Maritimes,4/13/1981,25.9,46.1,48.9,26.6
Maritimes,4/14/1981,22.3,54.1,49.4,23.1
Maritimes,4/15/1981,21.1,48,47.5,21.6
Maritimes,4/16/1981,21.5,40.3,48.9,22.2
Maritimes,4/17/1981,23.9,58.3,51.3,28.5
Maritimes,4/18/1981,40,55.3,52.8,31
Maritimes,4/19/1981,29,44.8,49,31.7
Maritimes,4/20/1981,26,46.8,43.4,27.5
Maritimes,4/21/1981,27.5,38.4,44,27
Maritimes,4/22/1981,27.4,46.7,45.4,30.5
Maritimes,4/23/1981,36.5,51.2,47.2,32.6
Maritimes,4/24/1981,33.8,43.8,47.3,34.5
Maritimes,4/25/1981,33.2,47.1,48.3,33.5
Maritimes,4/26/1981,33.4,53.9,53,33.9
Maritimes,4/27/1981,34.9,58.1,57.3,33.8
Maritimes,4/28/1981,33,60,57.9,34.9
Maritimes,4/29/1981,36.8,55.6,57.3,36.9
Maritimes,4/30/1981,40.8,56.3,58.3,38.5
Maritimes,5/1/1981,38,62.9,56.7,39.1
Maritimes,5/2/1981,38.7,51,54.9,38
Maritimes,5/3/1981,37.3,50.9,52.2,38.2
Maritimes,5/4/1981,38.7,54.8,59.6,40.4
Maritimes,5/5/1981,45.1,73.1,64.3,44.5
Maritimes,5/6/1981,49.7,64.9,64.2,42
Maritimes,5/7/1981,31.1,54.4,60.5,37.3
Maritimes,5/8/1981,30.9,62,60.3,32.2
Maritimes,5/9/1981,34.6,64.4,63.6,35.8
Maritimes,5/10/1981,41.8,64.5,66.1,39.6
Maritimes,5/11/1981,42.5,69.5,66.8,45.3
Maritimes,5/12/1981,51.5,66.3,66.3,46.7
Maritimes,5/13/1981,46.1,63.1,64.1,45.7
Maritimes,5/14/1981,39.5,62.9,65.4,42.3
Maritimes,5/15/1981,41.4,70,66.8,43.3
Maritimes,5/16/1981,48.8,67.5,65.1,41.6
Maritimes,5/17/1981,34.7,57.8,59.9,38.7
Maritimes,5/18/1981,32.7,54.5,56.4,33.3
Maritimes,5/19/1981,32.6,57.1,57.2,34
Maritimes,5/20/1981,36.6,60.1,62.2,34.8
Maritimes,5/21/1981,35.3,69.3,64.8,37.3
Maritimes,5/22/1981,40.1,65,63.1,39.6
Maritimes,5/23/1981,43.3,54.9,58.7,42.1
Maritimes,5/24/1981,43,56.2,61.2,43.3
Maritimes,5/25/1981,43.5,72.5,68.3,46.5
Maritimes,5/26/1981,53,76,74.5,50.1
Maritimes,5/27/1981,53.7,74.8,76.5,53.9
Maritimes,5/28/1981,54.9,78.5,76.5,55.7
Maritimes,5/29/1981,58.5,76.3,75.6,56.6
Maritimes,5/30/1981,56.4,72,73.2,54.6
Maritimes,5/31/1981,48.9,71.4,69.4,49.9
Maritimes,6/1/1981,44.2,64.8,69.7,44.2
Maritimes,6/2/1981,39.5,72.8,69.2,43.9
Maritimes,6/3/1981,48.1,70.1,71.2,47.2
Maritimes,6/4/1981,54.1,70.7,72.5,52
Maritimes,6/5/1981,53.9,76.8,74.6,53.1
Maritimes,6/6/1981,51.3,76.4,72.7,51.5
Maritimes,6/7/1981,49.4,64.9,69.8,49.4
Maritimes,6/8/1981,47.6,68.2,67.7,50.1
Maritimes,6/9/1981,53.4,69.8,65.8,49.7
Maritimes,6/10/1981,47.9,59.4,65.9,49.7
Maritimes,6/11/1981,47.6,68.4,65.1,47.3
Maritimes,6/12/1981,46.4,67.4,68.4,46.2
Maritimes,6/13/1981,44.6,69.4,69.8,46.8
Maritimes,6/14/1981,49.5,72.7,72.2,48.6
Maritimes,6/15/1981,51.5,74.4,71.9,52.4
Maritimes,6/16/1981,56.2,68.8,73.5,55.8
Maritimes,6/17/1981,59.5,77.4,74,54.6
Maritimes,6/18/1981,48.2,75.7,77.1,51.7
Maritimes,6/19/1981,47.4,78.1,75.6,48.9
Maritimes,6/20/1981,51,73,73.9,50.4
Maritimes,6/21/1981,52.7,70.6,71.9,52.5
Maritimes,6/22/1981,53.9,72,72.2,52.5
Maritimes,6/23/1981,51.1,74,73,51.4
Maritimes,6/24/1981,49.3,73.1,72.7,51
Maritimes,6/25/1981,52.7,70.9,73,51.6
Maritimes,6/26/1981,52.7,75,73,51.6
Maritimes,6/27/1981,49.4,73.2,75.7,49.2
Maritimes,6/28/1981,45.5,78.8,76.5,47.1
Maritimes,6/29/1981,46.3,77.6,78.8,48.4
Maritimes,6/30/1981,53.4,80,80.4,52.4
Maritimes,7/1/1981,57.5,83.6,82,56.8
Maritimes,7/2/1981,59.6,82.5,82.8,59.5
Maritimes,7/3/1981,61.5,82.4,81.5,61.8
Maritimes,7/4/1981,64.2,79.7,79.3,63.8
Maritimes,7/5/1981,65.6,75.9,77.1,62.4
Maritimes,7/6/1981,57.4,75.8,78.4,60.8
Maritimes,7/7/1981,59.3,83.6,81.6,57.8
Maritimes,7/8/1981,56.7,85.5,82.7,56.7
Maritimes,7/9/1981,53.9,79.1,82.3,57.7
Maritimes,7/10/1981,62.5,82.3,81,58.8
Maritimes,7/11/1981,59.8,81.7,79.6,59.8
Maritimes,7/12/1981,57,74.8,78.4,57.7
Maritimes,7/13/1981,56.4,78.7,73.5,56.3
Maritimes,7/14/1981,55.6,67.1,70.5,55.5
Maritimes,7/15/1981,54.5,65.9,70.3,54
Maritimes,7/16/1981,51.8,78,75.1,52.1
Maritimes,7/17/1981,49.9,81.4,80.5,50.7
Maritimes,7/18/1981,50.3,82,80.2,52.5
Maritimes,7/19/1981,57.4,77.3,78.9,54.8
Maritimes,7/20/1981,56.7,77.3,75.7,57.7
Maritimes,7/21/1981,59,72.6,75.5,58.3
Maritimes,7/22/1981,59.2,76.5,74.7,56.4
Maritimes,7/23/1981,51,75.1,75.8,53
Maritimes,7/24/1981,49,75.8,76.6,49.9
Maritimes,7/25/1981,49.7,78.9,77.2,49.2
Maritimes,7/26/1981,48.9,76.9,75.4,51.1
Maritimes,7/27/1981,54.7,70.2,72.2,51.4
Maritimes,7/28/1981,50.7,69.3,68.7,52.8
Maritimes,7/29/1981,52.9,66.6,68.2,52.6
Maritimes,7/30/1981,54.3,68.7,71.2,52.6
Maritimes,7/31/1981,50.8,78.2,77.3,53.3
Maritimes,8/1/1981,55,84.9,82.2,54.5
Maritimes,8/2/1981,57.7,83.5,83.3,56.9
Maritimes,8/3/1981,58,81.6,82.3,57.3
Maritimes,8/4/1981,56.2,81.8,81.6,56.7
Maritimes,8/5/1981,56,81.5,78.2,57.4
Maritimes,8/6/1981,59.9,71.2,74.7,58
Maritimes,8/7/1981,58,71.5,72.2,58.1
Maritimes,8/8/1981,56.4,73.9,73.9,56.3
Maritimes,8/9/1981,54.4,76.3,75,56.5
Maritimes,8/10/1981,58.6,74.7,76.9,58.3
Maritimes,8/11/1981,61.9,79.8,76.6,60.1
Maritimes,8/12/1981,59.9,75.2,75.2,59.8
Maritimes,8/13/1981,57.6,70.6,71.6,55.2
Maritimes,8/14/1981,48.1,69.1,71.5,50.9
Maritimes,8/15/1981,47.1,74.9,72.6,52.1
Maritimes,8/16/1981,61.1,73.8,75.1,52.8
Maritimes,8/17/1981,50.3,76.7,72,52.8
Maritimes,8/18/1981,47,65.6,72.5,47.1
Maritimes,8/19/1981,44,75.3,72.1,44.6
Maritimes,8/20/1981,43,75.5,75.9,43.5
Maritimes,8/21/1981,43.5,76.9,77.4,46.5
Maritimes,8/22/1981,53.1,79.6,78.7,49.9
Maritimes,8/23/1981,53.1,79.5,78.1,53.2
Maritimes,8/24/1981,53.4,75.3,74.6,49.8
Maritimes,8/25/1981,42.7,69.1,72.1,45.5
Maritimes,8/26/1981,40.3,72,71.3,42.6
Maritimes,8/27/1981,44.8,72.8,72,43.3
Maritimes,8/28/1981,44.9,71,73.8,45.1
Maritimes,8/29/1981,45.5,77.6,74.5,47.2
Maritimes,8/30/1981,51.3,74.8,75.5,49.5
Maritimes,8/31/1981,51.8,74.2,75,50.8
Maritimes,9/1/1981,49.3,76,75.9,49.9
Maritimes,9/2/1981,48.7,77.4,75.3,48.9
Maritimes,9/3/1981,48.6,72.4,74,50
Maritimes,9/4/1981,52.6,72.1,71.8,50.5
Maritimes,9/5/1981,50.4,70.9,71.5,54.1
Maritimes,9/6/1981,59.4,71.5,71.1,54.2
Maritimes,9/7/1981,52.9,71,71.4,54
Maritimes,9/8/1981,49.7,71.7,69.4,50.6
Maritimes,9/9/1981,49.2,65.6,68.2,47.2
Maritimes,9/10/1981,42.9,67.4,66.5,44.8
Maritimes,9/11/1981,42.3,66.5,68.4,44.4
Maritimes,9/12/1981,47.9,71.2,70.6,48.8
Maritimes,9/13/1981,56.2,74,74,51.8
Maritimes,9/14/1981,51.4,76.8,74.4,53.4
Maritimes,9/15/1981,52.8,72.3,70.6,52.5
Maritimes,9/16/1981,53.4,62.7,65.6,49.5
Maritimes,9/17/1981,42.3,61.7,64.1,45
Maritimes,9/18/1981,39.2,67.9,64.9,43.5
Maritimes,9/19/1981,49.1,65.1,65.4,43.9
Maritimes,9/20/1981,43.5,63,63.1,44.2
Maritimes,9/21/1981,40.1,61.3,60.8,40.2
Maritimes,9/22/1981,37.1,58,59.6,42.2
Maritimes,9/23/1981,49.4,59.4,59.2,45.2
Maritimes,9/24/1981,49.2,60.3,60,48.7
Maritimes,9/25/1981,47.5,60.3,61,46.9
Maritimes,9/26/1981,44.1,62.3,62.7,43.4
Maritimes,9/27/1981,38.8,65.6,64.2,43.2
Maritimes,9/28/1981,46.7,64.7,60.9,41.9
Maritimes,9/29/1981,40.3,52.4,55.4,42.9
Maritimes,9/30/1981,41.6,49.2,51,40.5
Maritimes,10/1/1981,39.8,51.2,50.6,40.8
Maritimes,10/2/1981,41,51.2,53,40.2
Maritimes,10/3/1981,39.8,56.4,54.8,39.6
Maritimes,10/4/1981,38,56.7,56.7,38.5
Maritimes,10/5/1981,37.6,57,58.7,37.3
Maritimes,10/6/1981,36.4,62.4,58.3,39.4
Maritimes,10/7/1981,44.1,55.4,56.6,40.7
Maritimes,10/8/1981,41.4,52.1,53.8,41.8
Maritimes,10/9/1981,39.7,54,51.6,39.3
Maritimes,10/10/1981,36.6,48.8,51.7,37.2
Maritimes,10/11/1981,35.1,52.2,50.5,33.1
Maritimes,10/12/1981,27.4,50.5,53.6,29.3
Maritimes,10/13/1981,25.3,58,56.9,26.8
Maritimes,10/14/1981,27.7,62.2,60.7,27.9
Maritimes,10/15/1981,30.5,61.8,60.7,33
Maritimes,10/16/1981,40.7,57.9,57.1,33.5
Maritimes,10/17/1981,29.2,51.5,55.1,33.4
Maritimes,10/18/1981,30.3,56,54.5,33.8
Maritimes,10/19/1981,41.9,56.1,54.7,34.8
Maritimes,10/20/1981,32.1,52.1,56,35.2
Maritimes,10/21/1981,31.5,59.8,57.4,33.1
Maritimes,10/22/1981,35.7,60.4,60.7,37.3
Maritimes,10/23/1981,44.7,62,61.2,36.4
Maritimes,10/24/1981,28.7,61.3,57.7,33.5
Maritimes,10/25/1981,27.2,49.9,53.4,31
Maritimes,10/26/1981,37,49,52.3,37
Maritimes,10/27/1981,46.9,58.1,55.7,40.6
Maritimes,10/28/1981,37.9,59.8,54.6,37.8
Maritimes,10/29/1981,28.7,45.9,51.3,31.5
Maritimes,10/30/1981,28,48.1,47.3,27.4
Maritimes,10/31/1981,25.6,48,48.6,27
Maritimes,11/1/1981,27.5,49.8,51.4,30.5
Maritimes,11/2/1981,38.5,56.6,50.6,34.2
Maritimes,11/3/1981,36.8,45.4,49.8,36.9
Maritimes,11/4/1981,35.5,47.3,47.8,34.9
Maritimes,11/5/1981,32.3,50.7,52.2,34.3
Maritimes,11/6/1981,35.2,58.5,54.1,34.7
Maritimes,11/7/1981,36.5,53.2,52.5,34.7
Maritimes,11/8/1981,32.5,45.7,51.7,32
Maritimes,11/9/1981,27,56.3,47.8,29.5
Maritimes,11/10/1981,29.1,41.3,48.3,29.5
Maritimes,11/11/1981,32.3,47.1,42.6,27.2
Maritimes,11/12/1981,20.3,39.4,43.4,23.6
Maritimes,11/13/1981,18.3,43.8,43.8,20.1
Maritimes,11/14/1981,21.8,48.3,46.8,25.6
Maritimes,11/15/1981,36.7,48.4,48.4,34.1
Maritimes,11/16/1981,44,48.6,48.5,40.8
Maritimes,11/17/1981,41.7,48.4,48.1,41.8
Maritimes,11/18/1981,39.7,47.2,46.5,39.1
Maritimes,11/19/1981,35.8,44,45.6,37.6
Maritimes,11/20/1981,37.3,45.6,48.3,38
Maritimes,11/21/1981,41,55.5,47.7,37.4
Maritimes,11/22/1981,34,42.1,44.8,34.9
Maritimes,11/23/1981,29.6,36.8,37.9,29.9
Maritimes,11/24/1981,25.9,34.9,35.7,26.9
Maritimes,11/25/1981,25.1,35.5,36.1,27.2
Maritimes,11/26/1981,30.7,37.9,37.6,29.5
Maritimes,11/27/1981,32.8,39.4,39,31.6
Maritimes,11/28/1981,31.3,39.9,37.7,29.6
Maritimes,11/29/1981,24.7,33.9,36.6,26
Maritimes,11/30/1981,21.9,36,34.6,22.9
Maritimes,12/1/1981,22.1,34,41,24.3
Maritimes,12/2/1981,28.9,53,47.5,30.9
Maritimes,12/3/1981,41.6,55.6,51.5,34.1
Maritimes,12/4/1981,31.8,46,47.7,33.6
Maritimes,12/5/1981,27.5,41.6,45.9,30.8
Maritimes,12/6/1981,33.1,50.1,45.4,32.9
Maritimes,12/7/1981,38.2,44.6,45.5,35.6
Maritimes,12/8/1981,35.6,41.9,41.5,35.8
Maritimes,12/9/1981,33.7,37.9,38.7,33.3
Maritimes,12/10/1981,30.5,36.4,37.3,32.1
Maritimes,12/11/1981,32.1,37.6,36.3,30.1
Maritimes,12/12/1981,27.5,34.9,35.2,27.2
Maritimes,12/13/1981,21.9,33,33.7,23.7
Maritimes,12/14/1981,21.7,33.2,35.4,23.1
Maritimes,12/15/1981,25.5,39.8,42,25.8
Maritimes,12/16/1981,30.2,53,41.9,27
Maritimes,12/17/1981,25.2,32.7,38.8,25.9
Maritimes,12/18/1981,22.2,30.5,31.1,23.2
Maritimes,12/19/1981,22.3,30,27.9,20
Maritimes,12/20/1981,15.4,23.1,27,17.6
Maritimes,12/21/1981,15.1,28,29.8,16.2
Maritimes,12/22/1981,17.9,38.3,33.6,20.6
Maritimes,12/23/1981,28.7,34.4,35.9,25.1
Maritimes,12/24/1981,28.6,35.1,34.5,27
Maritimes,12/25/1981,23.8,34.1,33.3,23.7
Maritimes,12/26/1981,18.6,30.7,31.3,21.1
Maritimes,12/27/1981,20.9,29.2,31,22.2
Maritimes,12/28/1981,27,33.2,32,23.9
Maritimes,12/29/1981,24,33.6,33.5,23.1
Maritimes,12/30/1981,18.5,33.7,31.6,17.2
Maritimes,12/31/1981,9.1,27.5,32.9,12.2
Maritimes,1/1/1982,9.1,37.4,32.1,12.8
Maritimes,1/2/1982,20.3,31.3,34.7,17.1
Maritimes,1/3/1982,21.8,35.4,37,23.5
Maritimes,1/4/1982,28.4,44.2,41.6,22.6
Maritimes,1/5/1982,17.5,45.1,41.5,20.9
Maritimes,1/6/1982,16.6,35.2,39.3,19.4
Maritimes,1/7/1982,23.9,37.7,33.1,15.8
Maritimes,1/8/1982,7,26.3,27.3,11.2
Maritimes,1/9/1982,2.8,17.9,19,2.6
Maritimes,1/10/1982,-1.9,12.7,14.7,-0.2
Maritimes,1/11/1982,-1.6,13.7,12,-1.9
Maritimes,1/12/1982,-2.3,9.6,13.5,1
Maritimes,1/13/1982,6.9,17.3,18.1,5.8
Maritimes,1/14/1982,12.6,27.4,25.1,11.2
Maritimes,1/15/1982,14.1,30.6,29.2,12.8
Maritimes,1/16/1982,11.6,29.7,29.5,4.5
Maritimes,1/17/1982,-12.1,28.2,21.5,-4
Maritimes,1/18/1982,-11.6,6.6,15.3,-8.4
Maritimes,1/19/1982,-1.5,11.3,13.6,-2.6
Maritimes,1/20/1982,5.2,22.8,14.1,1
Maritimes,1/21/1982,-0.5,8.1,12.1,0.1
Maritimes,1/22/1982,-4.4,5.2,14.9,-4.5
Maritimes,1/23/1982,-8.5,31.5,23.9,0.7
Maritimes,1/24/1982,14.9,35.2,28.4,2.4
Maritimes,1/25/1982,0.7,18.5,20.7,2.6
Maritimes,1/26/1982,-7.9,8.5,14.5,-6.7
Maritimes,1/27/1982,-13,16.4,20.1,-8.2
Maritimes,1/28/1982,-3.7,35.4,28.3,-2.9
Maritimes,1/29/1982,7.8,33.2,34.3,4.1
Maritimes,1/30/1982,8.3,34.3,34.2,10.6
Maritimes,1/31/1982,15.6,35,37,12.4
Maritimes,2/1/1982,13.3,41.7,35.6,13.1
Maritimes,2/2/1982,10.4,30.1,40.1,13.9
Maritimes,2/3/1982,17.9,48.6,41.6,16.5
Maritimes,2/4/1982,21.1,46.1,40.4,17.3
Maritimes,2/5/1982,12.9,26.4,34.7,15.7
Maritimes,2/6/1982,13,31.7,28.3,12.5
Maritimes,2/7/1982,11.8,26.8,29.8,14.8
Maritimes,2/8/1982,19.7,30.8,27.6,16.5
Maritimes,2/9/1982,18,25.3,27.4,15.9
Maritimes,2/10/1982,9.9,26.2,24.7,10.7
Maritimes,2/11/1982,4.3,22.8,24.2,4.8
Maritimes,2/12/1982,0.2,23.6,24.1,2.3
Maritimes,2/13/1982,2.3,25.9,23.9,5
Maritimes,2/14/1982,12.5,22.1,28.2,8.3
Maritimes,2/15/1982,10,36.7,32.1,13.3
Maritimes,2/16/1982,17.5,37.7,32.2,12.5
Maritimes,2/17/1982,9.9,22.1,27.5,10.3
Maritimes,2/18/1982,3.5,22.7,27.4,6.6
Maritimes,2/19/1982,6.5,37.4,32.6,12.4
Maritimes,2/20/1982,27.3,37.7,36.8,20.7
Maritimes,2/21/1982,28.2,35.4,35.2,26.2
Maritimes,2/22/1982,23,32.5,33.4,24.2
Maritimes,2/23/1982,21.2,32.4,30,18.5
Maritimes,2/24/1982,11.3,25.2,24.1,12
Maritimes,2/25/1982,3.3,14.7,19,5.6
Maritimes,2/26/1982,2,17.2,18.6,4.9
Maritimes,2/27/1982,9.4,23.9,18.5,4.7
Maritimes,2/28/1982,2.6,14.4,20.3,1.1
Maritimes,3/1/1982,-8.7,22.6,22.6,0.9
Maritimes,3/2/1982,8.7,31,24.6,2.6
Maritimes,3/3/1982,7.9,20.3,26.1,6.7
Maritimes,3/4/1982,3.5,27.1,31,10.6
Maritimes,3/5/1982,20.3,45.5,35.8,14.9
Maritimes,3/6/1982,21.1,34.8,42.1,23.1
Maritimes,3/7/1982,27.9,46,42.3,22.5
Maritimes,3/8/1982,18.4,46.2,40.2,20.6
Maritimes,3/9/1982,15.6,28.4,36.5,15.9
Maritimes,3/10/1982,13.6,35,37,19.2
Maritimes,3/11/1982,28.4,47.5,43.1,25
Maritimes,3/12/1982,33,46.9,45.5,31.3
Maritimes,3/13/1982,32.6,42.2,44.6,30.9
Maritimes,3/14/1982,27,44.7,40.5,26.8
Maritimes,3/15/1982,20.8,34.5,38.8,22.7
Maritimes,3/16/1982,20.5,37.3,37.8,21.8
Maritimes,3/17/1982,24,41.6,41.1,21.3
Maritimes,3/18/1982,19.3,44.5,43.5,22.2
Maritimes,3/19/1982,23.2,44.5,43.3,23
Maritimes,3/20/1982,26.5,41,41.4,25.6
Maritimes,3/21/1982,27.2,38.9,37.8,26
Maritimes,3/22/1982,24.3,33.7,35.5,23
Maritimes,3/23/1982,17.5,33.8,37.4,19.6
Maritimes,3/24/1982,17,44.8,44.3,20.6
Maritimes,3/25/1982,27.2,54.5,49.6,25.4
Maritimes,3/26/1982,31.9,49.6,46.8,24.4
Maritimes,3/27/1982,14.1,36.3,35.5,18.2
Maritimes,3/28/1982,8.7,20.7,33,13.7
Maritimes,3/29/1982,18.2,42,37.8,18.3
Maritimes,3/30/1982,27.9,50.7,49,24.8
Maritimes,3/31/1982,28.5,54.3,51.3,29.4
Maritimes,4/1/1982,31.9,48.9,47.1,28.5
Maritimes,4/2/1982,25,38.2,42.9,27.2
Maritimes,4/3/1982,24.6,41.6,42.8,25.8
Maritimes,4/4/1982,27.8,48.7,41,23.9
Maritimes,4/5/1982,19.4,32.7,38.3,21.9
Maritimes,4/6/1982,18.5,33.5,33.5,19.9
Maritimes,4/7/1982,21.7,34.3,33.5,20.3
Maritimes,4/8/1982,20.5,32.8,35.3,21.6
Maritimes,4/9/1982,22.7,38.8,36.7,23.3
Maritimes,4/10/1982,26.7,38.5,41.7,26.9
Maritimes,4/11/1982,31.5,47.8,43.7,29.4
Maritimes,4/12/1982,29.9,44.7,48.2,30.4
Maritimes,4/13/1982,29.8,52.1,49.1,31.2
Maritimes,4/14/1982,33.7,50.4,50.5,30.4
Maritimes,4/15/1982,27.7,49.1,54.5,29.6
Maritimes,4/16/1982,27.4,63.9,60.9,30.3
Maritimes,4/17/1982,35.9,69.7,64.3,32.8
Maritimes,4/18/1982,35.2,59.3,61,34.9
Maritimes,4/19/1982,33.7,54.1,56.7,34
Maritimes,4/20/1982,33.2,56.6,57.5,34
Maritimes,4/21/1982,35,61.9,54.3,33.2
Maritimes,4/22/1982,31.5,44.4,53.2,31.9
Maritimes,4/23/1982,29.3,53.3,50.7,30.5
Maritimes,4/24/1982,30.7,54.4,59.8,30.2
Maritimes,4/25/1982,30.6,71.8,64.8,32.9
Maritimes,4/26/1982,37.3,68.2,67.1,39
Maritimes,4/27/1982,49,61.3,61.7,39.5
Maritimes,4/28/1982,32.2,55.5,53.9,38.2
Maritimes,4/29/1982,33.4,44.9,50.2,33.4
Maritimes,4/30/1982,34.6,50.3,50.5,34
Maritimes,5/1/1982,33.9,56.4,56.3,33.5
Maritimes,5/2/1982,32,62.2,61.3,35.9
Maritimes,5/3/1982,41.8,65.4,60.4,37.8
Maritimes,5/4/1982,39.5,53.8,59.8,39.7
Maritimes,5/5/1982,37.9,60.3,59.8,38.8
Maritimes,5/6/1982,39.1,65.2,64.8,37.2
Maritimes,5/7/1982,34.8,69,67.8,37.6
Maritimes,5/8/1982,39,69.2,69.4,37.9
